phase_connected,final_sigma_P_ns,final_sigma_Pdot_1e-15,total_telescope_time_s,num_epochs,population_type
True,0.05518710121832603,0.005690343333927068,300.0,5,young
True,8.190794396101771e-05,0.00020177155744375885,240.0,4,young
True,0.000688486048655459,0.0010141090669665035,240.0,4,young
True,0.0005057743647969679,0.0001535553638887016,240.0,4,young
True,0.005128159262975069,0.0007028931345861395,300.0,5,young
True,9.719100603215496e-07,1.2624846581633677e-06,240.0,4,young
True,7.459162883834866e-06,4.6043295065816425e-05,240.0,4,young
True,2.27946153689964,0.09563356315523543,300.0,5,young
True,0.0005376576497891311,0.0014521751078378866,240.0,4,young
True,0.00042815183952904956,0.0007456630127053653,240.0,4,young
True,0.01655426291554281,0.00842392848145416,300.0,5,young
True,5.001028886394704e-06,1.879761743174969e-06,240.0,4,young
True,0.0013957540787041588,0.0008717978684146117,240.0,4,young
True,0.0037400667393670452,0.0008624601591934447,240.0,4,young
True,3.4390415077094726e-06,7.24311199670306e-06,360.0,6,young
True,0.015944571220657212,0.008259374490502716,240.0,4,young
True,6.639024384279805,0.6160701035154271,300.0,5,young
True,8.993813314828774e-05,0.00034774032180367206,240.0,4,young
True,0.0027613400389482085,0.0008684077982724451,300.0,5,young
True,0.002946437220752151,0.003016347138759127,240.0,4,young
True,0.001106111309169843,0.00021165409365921347,240.0,4,young
True,0.0006880019755296918,0.0002303769692774014,240.0,4,young
True,0.11439498289524201,0.03494256811302115,240.0,4,young
True,4.090819502047381,0.28181251247871125,300.0,5,young
True,4.050702857164913e-06,7.38079816982786e-06,240.0,4,young
True,0.010437096413006835,0.00259091514816515,240.0,4,young
True,0.0450637226067185,0.03957676604630659,240.0,4,young
True,0.0006532182591935812,0.0002735894802172799,240.0,4,young
True,1.6481709850902944,0.2678640938144971,240.0,4,young
True,7.102192528359649,0.3971644996377004,240.0,4,young
True,0.0020424182202539447,0.016838914915222446,180.0,3,young
True,0.007557807663292846,0.0008566451360290269,240.0,4,young
True,0.00021529480145131432,0.0002845738796780897,240.0,4,young
True,2.038815166748373e-06,3.733691641618269e-06,240.0,4,young
True,6.685343381166177e-05,0.0003043508190414399,240.0,4,young
True,0.0002856206047054566,0.00013182707542515654,240.0,4,young
True,0.017913086724869846,0.017437256154397472,240.0,4,young
True,3.87082003118347e-06,5.065324580848919e-06,240.0,4,young
True,0.00024984285123590144,0.0004632968049593841,240.0,4,young
False,69.23249020104917,27.918074192028733,7560.0,6,young
True,0.0011814846815869715,0.0005649775058847712,300.0,5,young
True,0.1409351097064558,0.009394994792717019,300.0,5,young
True,4.036957397991267e-06,1.0336811503426786e-05,240.0,4,young
True,0.008688019646511098,0.0020786459195843297,240.0,4,young
True,0.01975354769788914,0.002851267762401719,240.0,4,young
True,0.36197074287549325,0.07311935283302025,300.0,5,young
True,0.5336549331288971,0.014190451007916488,240.0,4,young
True,0.004471416317096139,0.0004321480071939673,240.0,4,young
True,0.06533300584766952,0.02135937940349933,240.0,4,young
True,0.0025179120449802693,0.005537649586063478,240.0,4,young
True,0.013373608181096942,0.006467086870413655,240.0,4,young
True,0.12008988254485177,0.02763058640747307,240.0,4,young
True,0.0003403211352990109,7.365276837865444e-05,240.0,4,young
True,0.0022923812800042967,0.005357114010336656,240.0,4,young
True,0.021663457004113398,0.002812798591257999,300.0,5,young
False,578.5972138825279,754.4180312028508,180.0,3,young
True,0.025229676733897085,0.022994429050543237,240.0,4,young
True,0.0068269427698798265,0.00118869265698175,240.0,4,young
True,3.281148726525554e-06,2.4401078389384894e-05,240.0,4,young
True,0.00012082087973904916,0.00017137739154761197,240.0,4,young
True,0.000215883360009433,0.00018004896001514188,240.0,4,young
True,0.0022284869260724037,0.019554524323970913,180.0,3,young
True,0.0026252451170083223,0.0005149143252837344,300.0,5,young
True,0.024114401280639797,0.008442382546137885,240.0,4,young
True,28.638633329034363,0.5662336873143704,360.0,6,young
True,0.011913923622755377,0.0018634718045831122,360.0,6,young
True,0.0028236317240800542,0.0009645838738425946,240.0,4,young
True,0.00021268238301485319,8.975211815409351e-05,240.0,4,young
True,0.0010612201609852777,0.0003688324288555586,240.0,4,young
True,0.19786309814796907,0.015378860676883342,300.0,5,young
True,0.0827345043206596,0.02271913054103787,240.0,4,young
True,0.0009718745554658507,0.0016471492833312444,240.0,4,young
True,0.0006116577558240622,0.00042966930080414823,8820.0,7,young
True,2.781821289764632e-05,2.154596148346463e-05,240.0,4,young
True,0.0003919664402964042,0.0002770170575328711,240.0,4,young
True,0.013038566984852437,0.001172498195464769,300.0,5,young
True,0.014834904471612053,0.013509750376515582,240.0,4,young
True,2.6590185719043067,0.1230631857835638,360.0,6,young
True,4.424173821332489,0.3727480758982924,240.0,4,young
True,0.09347409254103126,0.024611215585863412,300.0,5,young
